Summary,Issue Type,Description,Priority,Labels,Component/s
"Implement rule-based recommendation scoring","Task","Create scoring service based on genre match, favorite similarity, user rating signal, platform match, discount signal and popularity signal.","Medium","mvp,recommendations","Recommendations"
"Generate recommendation explanations","Task","Create human-readable recommendation reasons such as matching favorite genres, similar completed games, high discount or wishlist presence.","Medium","mvp,recommendations","Recommendations"
"Implement recommendation generation job","Task","Create background job that generates and stores recommendations for a user after library sync or manual regeneration.","Medium","mvp,recommendations,jobs","Recommendations"
"Expose recommendations endpoint","Task","Create endpoints for fetching user recommendations and manually triggering recommendation regeneration.","Medium","mvp,recommendations,api","Backend"
"Create price and deal database models","Task","Add Store, GamePrice, PriceSnapshot and PriceAlert models.","Medium","mvp,prices,database","Database"
"Create price provider abstraction","Task","Create common interface for price providers such as CheapShark or IsThereAnyDeal.","Medium","mvp,prices,integration","Prices"
"Implement CheapShark price provider","Task","Fetch current game deals and prices from CheapShark and map provider response to internal price models.","Medium","mvp,prices,cheapshark","Prices"
"Implement price refresh job","Task","Create background job that refreshes prices for wishlist, recommended and tracked games.","Medium","mvp,prices,jobs","Prices"
"Implement deal decision logic","Task","Create service that assigns labels such as BUY_NOW, GOOD_DEAL, HISTORICAL_LOW, WAIT, NO_DEAL_FOUND or OWNED_ALREADY.","Medium","mvp,prices,deals","Prices"
"Expose game prices endpoint","Task","Create endpoint for fetching current prices, best store, discount percentage and deal label for a selected game.","Medium","mvp,prices,api","Backend"
"Implement price alerts","Task","Allow users to create, update, disable and delete price alerts based on target price, discount percentage or historical low.","Medium","mvp,prices,alerts","Prices"
"Implement in-app notifications","Task","Create notification model and endpoint for showing triggered price alert notifications to the user.","Low","mvp,notifications,prices","Backend"
"Initialize Next.js frontend project","Task","Create Next.js frontend project with routing, shared layout, API client, auth state management and UI library setup.","High","mvp,frontend,nextjs","Frontend"
"Create login and registration pages","Task","Implement login and registration forms with validation, API integration and protected route handling.","High","mvp,frontend,auth","Frontend"
"Create dashboard page","Task","Show library summary, top genres, recent sync status, current recommendations and wishlist deals.","Medium","mvp,frontend,dashboard","Frontend"
"Create Steam linking UI","Task","Create UI for entering Steam ID or profile URL, linking Steam profile, starting sync and viewing sync status.","High","mvp,frontend,steam","Frontend"
"Create library page","Task","Display imported games with filters, pagination, status controls, rating and note editing.","High","mvp,frontend,library","Frontend"
"Create game details page","Task","Show game metadata, user status, rating, note, current prices, deal label and related recommendations.","Medium","mvp,frontend,games","Frontend"
"Create search page","Task","Create Elasticsearch-powered search UI with query input, filters, sorting and pagination.","Medium","mvp,frontend,search","Frontend"
"Create recommendations page","Task","Display recommended games with score, explanation reasons and current deal information.","Medium","mvp,frontend,recommendations","Frontend"
"Create deals and price alerts pages","Task","Display current best deals and allow users to create, update and disable price alerts.","Medium","mvp,frontend,deals","Frontend"
"Add Prometheus metrics endpoint","Task","Expose /metrics endpoint with HTTP request count, request duration and error count.","Medium","mvp,observability,prometheus","Observability"
"Add queue metrics","Task","Track BullMQ completed jobs, failed jobs, job duration and waiting jobs by queue.","Medium","mvp,observability,bullmq","Observability"
"Add external API metrics","Task","Track request count, errors and duration for Steam, metadata provider and price provider APIs.","Medium","mvp,observability,external-api","Observability"
"Create Grafana dashboards","Task","Create Grafana dashboards for API latency, errors, queue health, external API health, Steam syncs and price refresh jobs.","Medium","mvp,observability,grafana","Observability"
"Add unit tests for recommendation scoring","Task","Cover recommendation scoring logic, recommendation types and reason generation with unit tests.","Medium","mvp,testing,recommendations","Quality"
"Add unit tests for deal decision logic","Task","Cover BUY_NOW, GOOD_DEAL, HISTORICAL_LOW, WAIT, NO_DEAL_FOUND and OWNED_ALREADY decision cases.","Medium","mvp,testing,deals","Quality"
"Add integration tests for auth flow","Task","Test registration, login, refresh token rotation, logout and protected routes.","Medium","mvp,testing,auth","Quality"
"Add integration tests for Steam sync with mocked API","Task","Mock Steam API responses and test Steam profile linking, sync job creation and imported game persistence.","Medium","mvp,testing,steam","Quality"
"Add integration tests for price refresh with mocked provider","Task","Mock price provider responses and test current price updates, price snapshots and deal labels.","Medium","mvp,testing,prices","Quality"
"Create project README","Task","Document project idea, architecture, local setup, environment variables, external APIs, queues, monitoring and engineering highlights.","High","mvp,documentation,readme","Quality"
"Setup GitHub Actions CI","Task","Create CI workflow that installs dependencies, runs lint, typecheck, tests and build.","Medium","mvp,ci,github-actions","Infrastructure"
